,0,1,2,3,4,5,6,7,8,9,10
ECOG_RIGHT_bursts_high gamma_amplitude_mean,-0.24830303663314351,-0.1789654501842236,-0.24318749987489308,-0.2445720884659341,-0.1341931666822681,-0.12126601925426528,-0.10553303795055502,-0.0743927972074227,-0.10031219413139036,-0.18026017974975156,-0.12259927041665813
ECOG_RIGHT_bursts_high gamma_duration_max,-0.2490414056572865,-0.1776409964892599,-0.24879677981028125,-0.2469675888259853,-0.13909494134989359,-0.12264027176516068,-0.10542434971667713,-0.07529146796084973,-0.09902440454058536,-0.17976884262650533,-0.12543312056840022
ECOG_RIGHT_bursts_high gamma_amplitude_max,-0.24825438963884616,-0.18467998368535848,-0.24761634716914405,-0.24916362463457148,-0.1446244297467954,-0.12732735483376922,-0.09830416417908094,-0.0780140173689402,-0.1085229690920616,-0.17769817103554647,-0.12990498503049652
ECOG_RIGHT_bursts_high gamma_burst_rate_per_s,-0.24397038035280316,-0.18373717937660194,-0.24387163610799234,-0.24554823808612858,-0.14555185006067617,-0.12880330808857,-0.09694887098909483,-0.07430598883918976,-0.10936243525944467,-0.17535531407527633,-0.12856915254008994
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_low beta,-0.24438165379719912,-0.183243124846574,-0.24770334390819015,-0.24514317381202627,-0.1416570891114099,-0.1277685718250149,-0.09913283693558911,-0.07306527556750714,-0.10951305194923167,-0.171390312966201,-0.12661409075467467
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_low beta,-0.24476798296580377,-0.18395494841963245,-0.24602039557382466,-0.2491306815822203,-0.14285576559973717,-0.1273144390200197,-0.09830585265155739,-0.06844656418174005,-0.10981366895161426,-0.17220561179248922,-0.1279171820111238
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high beta,-0.2494547613613453,-0.18347854549389347,-0.2452666326365402,-0.2530956733540705,-0.14347428338452567,-0.12909475326057862,-0.09860055770399684,-0.062367951910692,-0.11243119611047903,-0.1747891264806643,-0.12834166450169082
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high beta,-0.2455701699537079,-0.18215243260600905,-0.24382446748874098,-0.2600253743688469,-0.14091712515836263,-0.13038618413146635,-0.09651790316337566,-0.07157506760923199,-0.11061717924609682,-0.17542420098233508,-0.1280929020723608
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high gamma,-0.24806309719858033,-0.1851005909503312,-0.2512751764813996,-0.18277160582570906,-0.13505075161043506,-0.11651490736993586,-0.12107113226227267,-0.07867039391082781,-0.11380693276313292,-0.12479311087653894,-0.11880906991254853
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high gamma,-0.2504542665544487,-0.18765935205904655,-0.2509011982718223,-0.17686276388944788,-0.132211895969795,-0.11759444121867552,-0.12865798068576872,-0.07758979961192336,-0.1121634374141649,-0.11769934122095299,-0.12014307315215073
coh_ECOG_RIGHT_to_ECOG_LEFT_max_allfbands_high gamma,-0.2503000897121703,-0.18380896555384008,-0.25227518581215996,-0.17120697270061125,-0.1350912231658435,-0.11865002356119486,-0.1278889117054952,-0.07672433056078276,-0.11387433320913998,-0.12096299209034778,-0.12129867047851489
icoh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_low beta,-0.25508466967864873,-0.18328277717222485,-0.2499854385833462,-0.16509490200741117,-0.13522198936117064,-0.11920717415783033,-0.12644493582024158,-0.07215273085798146,-0.11125339932876821,-0.11883255125923131,-0.12004962042094042
